date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,result,home_elo,away_elo,elo_diff,is_neutral
2010-05-08,Jersey,Guernsey,0,1,Muratti Vase,Jersey,Jersey,False,A,1516.0,1500.0,16.0,0
2010-05-10,Mexico,Senegal,1,0,Friendly,Chicago,United States,True,H,1542.4665942502431,1516.0,26.466594250243134,1
2010-05-12,Yemen,Malawi,1,0,Friendly,Sana'a,Yemen,False,H,1484.010660996651,1465.2250329755923,18.785628021058756,0
2010-05-13,Germany,Malta,3,0,Friendly,Aachen,Germany,False,H,1485.4695015289756,1483.2298601853572,2.2396413436183593,0
2010-05-13,Mexico,Angola,1,0,Friendly,Houston,United States,True,H,1557.2501146824063,1498.0159330176486,59.23418166475767,1
2010-05-15,Paraguay,North Korea,1,0,Friendly,Nyon,Switzerland,True,H,1500.6701768981773,1487.7337771391356,12.936399759041706,1
2010-05-16,South Korea,Ecuador,2,0,Friendly,Seoul,South Korea,False,H,1546.9589177698435,1502.0383936182222,44.920524151621294,0
2010-05-16,Mexico,Chile,1,0,Friendly,Mexico City,Mexico,False,H,1570.5484058385114,1530.6282649109007,39.920140927610646,0
2010-05-16,South Africa,Thailand,4,0,Friendly,Nelspruit,South Africa,False,H,1528.0496262994202,1484.0936090884795,43.95601721094067,0
2010-05-18,Yemen,Oman,0,1,Friendly,Sana'a,Yemen,False,A,1499.1463929204106,1500.061785675749,-0.9153927553384165,0
2010-05-19,Austria,Croatia,0,1,Friendly,Klagenfurt,Austria,False,A,1516.0,1516.0,0.0,0
2010-05-19,Belgium,Bulgaria,2,1,Friendly,Brussels,Belgium,False,H,1484.0,1485.402840130022,-1.402840130022014,0
2010-05-19,Gabon,Togo,3,0,Corsica Cup,Ajaccio,France,True,H,1512.4000363588698,1500.0,12.400036358869784,1
2010-05-19,Corsica,Brittany,2,0,Corsica Cup,Ajaccio,France,False,H,1500.0,1500.0,0.0,0
2010-05-20,Aruba,Venezuela,0,3,Friendly,Oranjestad,Aruba,False,A,1500.0,1518.059858854008,-18.059858854008098,0
